,sex,age,marital_status,number_of_dependants,annual_income,account_type,credit_limit,number_of_accounts,months_since_openning,outstanding_balance,utilisation_ratio,total_amount_of_transactions,total_number_of_transactions,number_of_contacts_over_12_months,months_inactive_over_12_months,Predicted
19,F,55,Married,2,Unknown,Silver,3602.0,5,36,2013,0.559,1935,47,4,5,0
20,F,50,Single,2,Less than $50K,Silver,1721.0,5,36,1037,0.603,2681,57,2,3,0
21,F,48,Married,2,$50K - $70K,Silver,4076.0,4,42,0,0.0,1235,37,3,3,0
22,F,49,Married,5,Unknown,Gold,34516.0,6,36,2019,0.058,3820,72,2,2,0
23,F,53,Single,1,Less than $50K,Silver,6189.0,6,43,0,0.0,5004,65,4,3,0
24,F,38,Married,3,Less than $50K,Silver,3297.0,1,36,1554,0.471,4636,86,3,2,0
25,F,33,Unknown,3,Unknown,Silver,4734.0,3,25,2517,0.532,2275,55,4,2,0
26,M,41,Married,3,$110K and Over,Silver,11789.0,3,31,1420,0.12,1463,32,2,3,0
27,M,57,Married,1,$90K - $110K,Silver,4829.0,3,36,2418,0.501,938,21,3,3,0
28,M,56,Single,1,$90K - $110K,Silver,11751.0,3,36,0,0.0,1539,17,0,6,0
29,M,49,Unknown,2,$70K - $90K,Silver,6511.0,5,36,1790,0.275,1478,38,2,3,0
30,F,45,Married,3,$50K - $70K,Silver,2016.0,5,31,1303,0.646,3243,63,3,5,0
31,M,38,Married,3,$90K - $110K,Silver,3224.0,2,22,0,0.0,3738,63,1,2,0
32,F,42,Single,5,Less than $50K,Silver,8325.0,2,30,0,0.0,8198,90,3,3,0
33,M,56,Married,3,$110K and Over,Silver,5188.0,5,43,753,0.145,1540,30,5,1,0
34,M,43,Married,2,$70K - $90K,Silver,13553.0,1,34,1448,0.107,8751,94,3,1,0
35,M,58,Single,1,$90K - $110K,Silver,2915.0,4,41,1494,0.513,4235,73,1,2,0
36,F,54,Married,2,Less than $50K,Silver,1438.3,3,45,306,0.213,694,15,3,1,1
37,M,49,Married,3,$90K - $110K,Silver,2361.0,5,39,1342,0.568,4316,78,2,3,0
38,F,41,Married,2,$50K - $70K,Silver,9576.0,3,32,0,0.0,2362,49,2,2,1
39,F,57,Married,3,Less than $50K,Silver,6347.0,4,47,1594,0.251,1771,37,3,2,0
40,F,53,Married,2,Less than $50K,Silver,5362.0,3,44,1901,0.355,1553,38,3,2,0
41,F,41,Divorced,4,Less than $50K,Silver,7492.0,5,37,1399,0.187,3668,67,4,1,0
42,M,63,Married,0,$70K - $90K,Silver,2567.0,6,36,0,0.0,2399,43,3,2,1
43,F,29,Unknown,1,Unknown,Silver,7270.0,6,36,1835,0.252,3759,69,2,3,0
44,F,48,Married,5,Less than $50K,Silver,5814.0,2,33,1176,0.202,3796,74,3,1,0
45,F,54,Single,1,Less than $50K,Silver,2082.0,5,43,805,0.387,4383,75,4,2,0
46,M,53,Married,2,$110K and Over,Silver,7272.0,4,41,2037,0.28,2333,56,3,3,0
47,M,44,Married,3,$50K - $70K,Gold,16199.0,2,36,1533,0.095,8150,106,2,1,0
48,F,51,Single,3,Less than $50K,Silver,2927.0,6,46,1499,0.512,4670,70,1,3,0
49,M,32,Married,0,$70K - $90K,Silver,5478.0,6,26,1491,0.272,2456,55,3,2,0
50,M,51,Single,2,$50K - $70K,Silver,6103.0,3,40,0,0.0,3203,64,0,2,0
51,F,41,Married,1,Less than $50K,Silver,2225.0,6,32,0,0.0,4917,84,3,3,0
52,M,56,Married,1,$110K and Over,Silver,6041.0,3,36,1355,0.224,1747,49,2,2,0
53,F,43,Single,5,Less than $50K,Silver,1438.3,6,38,604,0.42,4469,85,2,2,0
54,F,50,Single,3,Less than $50K,Silver,1438.3,4,36,1002,0.697,2004,25,2,3,0
55,M,52,Married,3,$110K and Over,Silver,3841.0,1,36,2517,0.655,2680,51,3,2,1
56,M,38,Single,2,$70K - $90K,Silver,1438.3,1,32,1309,0.91,5066,76,2,1,0
57,F,44,Married,2,$50K - $70K,Silver,1438.3,2,28,0,0.0,4445,78,3,3,0
58,F,42,Single,0,$50K - $70K,Silver,1438.3,5,30,1223,0.85,2181,43,3,2,1
59,M,40,Unknown,2,$90K - $110K,Silver,29923.0,4,32,0,0.0,2528,52,3,3,1
60,M,58,Single,2,$90K - $110K,Silver,10286.0,1,46,0,0.0,8199,59,1,3,1
61,M,41,Married,4,$70K - $90K,Silver,18001.0,5,32,906,0.05,1194,25,2,3,0
62,M,49,Married,1,$70K - $90K,Diamond,6224.0,2,36,2201,0.354,7693,70,3,2,0
63,F,48,Unknown,4,Less than $50K,Silver,2700.0,5,36,2480,0.919,2396,49,2,2,1
64,F,42,Single,4,Less than $50K,Silver,6172.0,3,30,1212,0.196,16622,99,3,1,0
65,M,59,Single,0,$50K - $70K,Silver,1638.0,4,48,0,0.0,1536,44,2,2,0
66,F,53,Married,4,$50K - $70K,Silver,4753.0,3,36,2472,0.52,2242,49,3,2,1
67,M,35,Married,1,$70K - $90K,Silver,4008.0,4,26,1841,0.459,2794,58,2,3,0
68,F,63,Single,0,Less than $50K,Silver,1931.0,5,56,1531,0.793,2288,48,3,6,1
69,M,41,Married,4,Less than $50K,Silver,7769.0,2,32,0,0.0,8109,74,3,3,1
70,M,36,Single,2,$90K - $110K,Silver,5821.0,5,31,764,0.131,5291,96,3,2,0
71,M,35,Married,2,$70K - $90K,Silver,7453.0,5,24,0,0.0,1691,47,3,1,0
72,F,50,Married,1,Unknown,Silver,4181.0,6,37,0,0.0,3057,54,3,4,0
73,F,56,Married,2,Unknown,Silver,2015.0,6,36,807,0.4,5209,76,3,2,0
74,M,49,Unknown,3,$70K - $90K,Silver,15942.0,5,36,0,0.0,1742,41,3,2,1
75,F,50,Married,3,Less than $50K,Silver,2999.0,2,36,1817,0.606,5119,83,2,3,0
76,M,36,Single,2,Less than $50K,Silver,4225.0,3,36,2517,0.596,2659,43,3,3,1
77,M,57,Single,2,$90K - $110K,Silver,30622.0,6,51,0,0.0,3600,66,4,2,0
78,F,59,Single,0,Less than $50K,Silver,1845.0,5,40,1076,0.583,4319,76,2,2,0
79,M,51,Married,3,$110K and Over,Silver,34516.0,3,40,1476,0.043,14145,119,2,3,0
80,M,48,Single,2,$50K - $70K,Gold,17812.0,2,40,0,0.0,8379,106,2,3,0
81,F,37,Married,4,Less than $50K,Silver,2509.0,4,36,1144,0.456,1804,38,4,1,0
82,M,40,Married,4,$50K - $70K,Gold,15471.0,3,34,1291,0.083,3993,77,1,2,0
83,F,44,Single,4,Less than $50K,Silver,1438.3,6,32,170,0.118,2527,45,4,3,1
84,F,59,Single,2,Less than $50K,Silver,1438.3,1,54,0,0.0,4919,72,3,1,0
85,F,57,Single,2,Less than $50K,Silver,1857.0,4,49,1528,0.823,4681,71,2,2,0
86,F,49,Single,4,Less than $50K,Silver,2712.0,4,40,1686,0.622,4678,74,2,2,0
87,M,41,Single,2,$90K - $110K,Silver,27756.0,4,28,1789,0.064,994,24,0,3,0
88,M,65,Married,1,Less than $50K,Silver,1759.0,3,47,0,0.0,821,18,1,2,1
89,F,40,Single,3,Less than $50K,Silver,1625.0,5,30,912,0.561,3968,73,2,1,0
90,F,54,Married,2,Less than $50K,Silver,2027.0,3,44,1480,0.73,1702,37,3,2,0
91,M,43,Unknown,4,$90K - $110K,Silver,13882.0,4,37,758,0.055,1646,42,3,2,0
92,F,50,Single,1,$50K - $70K,Gold,17304.0,3,43,2517,0.145,1756,33,3,2,0
93,F,48,Divorced,2,$50K - $70K,Gold,21754.0,2,39,0,0.0,9105,104,2,2,0
94,M,49,Single,2,$110K and Over,Silver,21144.0,3,42,1190,0.056,4895,66,4,2,0
95,M,60,Married,0,$70K - $90K,Silver,3182.0,5,49,1928,0.606,1233,35,4,1,0
96,F,47,Unknown,4,Less than $50K,Silver,4944.0,5,36,1151,0.233,3684,64,2,3,0
97,M,44,Single,3,$70K - $90K,Silver,1682.0,5,37,930,0.553,3309,67,3,2,0
98,F,44,Single,5,Less than $50K,Silver,7742.0,1,36,1163,0.15,9081,100,1,3,0
99,F,36,Married,2,$50K - $70K,Silver,1848.0,4,36,0,0.0,2775,33,2,3,1
100,F,34,Single,2,Less than $50K,Silver,2509.0,2,29,1897,0.756,4837,74,3,3,0
101,F,42,Single,2,Less than $50K,Gold,13453.0,1,33,2517,0.187,1904,42,3,2,1
102,F,54,Married,3,Less than $50K,Silver,5642.0,2,36,541,0.096,4633,84,1,2,0
103,F,47,Single,4,Unknown,Silver,6263.0,3,42,2517,0.402,2613,50,3,4,1
104,M,40,Married,2,$50K - $70K,Diamond,3735.0,1,31,1474,0.395,15039,130,1,2,0
105,F,45,Married,3,Less than $50K,Silver,1438.3,1,35,834,0.58,4976,70,2,2,0
106,M,36,Unknown,1,$110K and Over,Silver,20230.0,6,23,798,0.039,4314,82,3,3,0
107,F,48,Single,3,$50K - $70K,Silver,3743.0,6,42,2090,0.558,4674,67,1,1,0
108,M,43,Married,3,$90K - $110K,Silver,3498.0,4,33,0,0.0,2512,56,2,1,0
109,M,39,Single,3,$70K - $90K,Silver,21718.0,3,32,2386,0.11,3492,66,2,2,0
110,M,61,Single,0,$50K - $70K,Silver,3984.0,2,56,2245,0.564,1821,39,4,5,1
111,M,58,Single,1,$90K - $110K,Silver,22718.0,6,36,0,0.0,8100,77,4,3,1
112,M,45,Married,4,$70K - $90K,Gold,25907.0,5,33,745,0.029,2058,56,4,2,0
113,F,44,Unknown,3,Unknown,Gold,34516.0,2,36,941,0.027,12042,117,3,3,0
114,M,31,Married,2,Less than $50K,Silver,1438.3,3,18,0,0.0,2789,50,4,2,0
115,M,49,Unknown,2,$90K - $110K,Silver,18379.0,5,43,999,0.054,4122,70,2,2,0
116,M,56,Married,3,$110K and Over,Silver,34516.0,6,36,1047,0.03,1378,30,3,3,0
117,M,52,Married,3,$70K - $90K,Silver,4565.0,5,42,1258,0.276,4139,67,1,3,0
118,F,37,Single,3,Less than $50K,Silver,2917.0,3,26,2216,0.76,4524,67,2,1,0
119,M,42,Married,2,$70K - $90K,Silver,3086.0,1,30,0,0.0,4129,81,3,2,0
120,F,51,Married,1,Less than $50K,Silver,1438.3,3,42,0,0.0,4211,64,2,2,0
121,F,46,Single,4,Less than $50K,Silver,3942.0,3,33,1711,0.434,4622,71,2,2,0
122,F,49,Single,2,Less than $50K,Silver,1768.0,6,39,0,0.0,4628,90,3,1,0
123,M,65,Single,0,$50K - $70K,Silver,13921.0,3,49,1201,0.086,4351,75,3,2,0
124,M,49,Single,4,$90K - $110K,Silver,30885.0,3,42,2018,0.065,17350,115,1,2,0
125,M,51,Single,4,$90K - $110K,Silver,8783.0,6,37,2142,0.244,4425,83,2,2,0
126,M,46,Married,3,$70K - $90K,Silver,12745.0,2,33,0,0.0,4380,80,1,2,0
127,M,44,Divorced,3,$90K - $110K,Silver,17965.0,6,36,1644,0.092,1767,50,2,2,0
128,M,57,Single,3,$90K - $110K,Silver,17096.0,2,50,1762,0.103,4231,62,3,3,0
129,F,46,Single,4,Unknown,Silver,24949.0,3,33,1749,0.07,4092,77,3,3,0
130,M,44,Married,2,$70K - $90K,Silver,19114.0,3,27,1754,0.092,4413,69,2,1,0
131,M,53,Unknown,1,$90K - $110K,Silver,6514.0,5,42,978,0.15,3084,63,4,5,0
132,M,36,Married,3,$70K - $90K,Silver,5497.0,5,36,1517,0.276,1981,38,4,2,0
133,M,54,Married,1,$70K - $90K,Silver,2987.0,3,42,2517,0.843,1617,35,2,2,0
134,F,42,Married,3,$50K - $70K,Silver,1585.0,6,34,1381,0.871,2360,40,1,3,1
135,M,39,Divorced,1,$70K - $90K,Silver,5926.0,5,33,1251,0.211,1316,28,3,3,0
136,F,54,Married,1,Less than $50K,Silver,2306.0,6,43,2200,0.954,2097,57,3,2,0
137,F,42,Married,4,Less than $50K,Silver,1531.0,3,30,987,0.645,4373,67,1,2,0
138,F,46,Single,2,Less than $50K,Silver,2170.0,6,35,1498,0.69,4569,79,3,3,0
139,M,48,Married,4,$110K and Over,Silver,34516.0,6,31,1013,0.029,1222,37,1,3,0
140,M,45,Divorced,2,$50K - $70K,Silver,9569.0,2,36,0,0.0,1724,35,4,2,1
141,F,47,Divorced,1,Less than $50K,Silver,2707.0,6,37,1367,0.505,4646,73,3,3,0
142,M,51,Married,1,$110K and Over,Silver,30172.0,2,43,1825,0.06,8879,101,2,3,0
143,F,44,Single,2,Unknown,Silver,7627.0,5,37,1742,0.228,4349,75,2,1,0
144,M,45,Married,2,$70K - $90K,Silver,1438.3,3,25,0,0.0,709,27,3,5,1
145,F,26,Single,0,Less than $50K,Silver,2063.0,4,13,1390,0.674,2602,42,4,2,0
146,M,41,Married,4,$70K - $90K,Silver,1734.0,5,36,857,0.494,4741,84,2,3,0
147,M,45,Married,4,$90K - $110K,Silver,31978.0,4,31,1659,0.052,2333,51,3,3,0
148,F,33,Single,0,$50K - $70K,Silver,1438.3,3,15,0,0.0,2527,49,6,2,1
149,F,51,Married,3,Less than $50K,Silver,3007.0,4,36,2517,0.837,4985,84,1,2,0
150,F,40,Married,2,Less than $50K,Silver,4757.0,3,34,1978,0.416,4220,71,3,3,0
151,F,27,Married,1,Less than $50K,Silver,1438.3,3,13,990,0.688,3855,73,2,2,0
152,F,60,Single,0,Less than $50K,Silver,2758.0,5,42,1429,0.518,5124,74,3,3,0
153,F,52,Single,1,Less than $50K,Silver,1764.0,5,41,0,0.0,2740,47,6,3,1
154,F,38,Married,2,Less than $50K,Silver,1614.0,5,28,0,0.0,2437,46,4,2,1
155,M,32,Single,0,$70K - $90K,Silver,8186.0,4,14,0,0.0,2411,67,3,3,0
156,M,43,Unknown,3,$70K - $90K,Silver,9382.0,4,33,1455,0.155,3412,71,4,3,0
157,M,43,Married,4,$70K - $90K,Silver,3482.0,4,37,1942,0.558,3512,63,3,1,0
158,F,42,Married,5,Less than $50K,Silver,1514.0,5,35,745,0.492,4004,69,3,4,0
159,M,48,Married,3,$70K - $90K,Silver,8808.0,5,37,390,0.044,1905,42,2,2,1
160,M,51,Married,3,$110K and Over,Silver,11600.0,4,42,738,0.064,3488,80,2,1,0
161,M,51,Single,1,$110K and Over,Silver,8671.0,2,36,590,0.068,4399,72,3,1,0
162,F,34,Single,3,Less than $50K,Silver,7440.0,3,36,704,0.095,2251,63,1,6,0
163,M,37,Divorced,2,$110K and Over,Silver,3497.0,4,24,1665,0.476,2337,61,2,2,0
164,M,43,Unknown,5,$90K - $110K,Silver,1504.0,3,38,0,0.0,2530,43,2,3,1
165,M,47,Single,3,$70K - $90K,Silver,2926.0,4,36,0,0.0,1304,24,2,2,0
166,F,47,Single,2,Less than $50K,Silver,2262.0,4,35,0,0.0,4113,83,3,2,0
167,F,41,Married,2,$50K - $70K,Silver,2602.0,5,36,1490,0.573,3151,78,4,2,0
168,F,43,Married,2,Less than $50K,Silver,3589.0,5,36,1808,0.504,4262,70,4,2,0
169,F,55,Married,2,$50K - $70K,Silver,5431.0,2,42,2007,0.37,4569,82,3,2,0
170,M,46,Unknown,5,$110K and Over,Silver,34516.0,4,26,772,0.022,3699,77,3,3,0
171,M,61,Single,1,Less than $50K,Silver,7169.0,3,54,629,0.088,8216,80,1,3,1
172,F,57,Married,2,Less than $50K,Silver,1860.0,1,45,0,0.0,5109,62,3,3,0
173,M,32,Married,1,Less than $50K,Silver,6100.0,5,36,1520,0.249,1668,32,3,3,0
174,M,46,Divorced,4,$110K and Over,Silver,3569.0,2,31,1553,0.435,16695,116,1,3,0
175,M,62,Married,1,$50K - $70K,Silver,2359.0,5,56,1242,0.526,2021,50,3,3,0
176,F,48,Divorced,3,$50K - $70K,Silver,2405.0,3,40,1410,0.586,4421,79,3,1,0
177,F,55,Single,0,Less than $50K,Silver,2695.0,6,36,0,0.0,4557,94,1,1,0
178,F,34,Single,2,Less than $50K,Silver,1901.0,4,27,1176,0.619,2450,52,1,1,0
179,F,65,Single,0,Unknown,Silver,5894.0,3,56,477,0.081,1616,32,3,6,1
180,F,39,Single,2,Less than $50K,Silver,1438.3,4,36,855,0.594,4890,53,3,3,0
181,F,47,Married,3,$50K - $70K,Silver,7553.0,5,41,660,0.087,4079,67,3,3,0
182,M,49,Married,0,$70K - $90K,Silver,19719.0,5,39,1395,0.071,3572,73,3,6,0
183,M,60,Married,1,$50K - $70K,Silver,3735.0,6,47,1175,0.315,8193,66,5,1,1
184,M,45,Divorced,3,$70K - $90K,Gold,34516.0,2,31,1509,0.044,7167,91,3,1,0
185,F,44,Unknown,2,Less than $50K,Silver,3170.0,2,29,2330,0.735,5357,91,1,3,0
186,M,39,Single,1,$50K - $70K,Silver,2255.0,6,33,0,0.0,4412,81,2,1,0
187,F,55,Married,3,$50K - $70K,Silver,2240.0,5,36,1231,0.55,3623,71,3,1,0
188,M,27,Married,0,$50K - $70K,Silver,11473.0,3,36,829,0.072,2147,41,4,2,0
189,F,53,Divorced,1,Unknown,Silver,17054.0,3,36,0,0.0,4659,72,3,1,0
190,F,60,Divorced,1,Less than $50K,Silver,2737.0,5,48,1812,0.662,4507,86,3,3,0
191,F,47,Married,4,$50K - $70K,Silver,2155.0,2,36,1119,0.519,5441,91,1,1,0
192,M,52,Married,3,$110K and Over,Silver,34516.0,1,45,550,0.016,7341,71,3,3,1
193,M,57,Married,1,$90K - $110K,Silver,6543.0,3,36,2260,0.345,1519,31,2,2,0
194,M,46,Single,1,$70K - $90K,Silver,23996.0,5,38,2517,0.105,1339,29,4,2,0
195,M,34,Married,3,$110K and Over,Silver,23959.0,3,25,2517,0.105,1870,45,4,2,0
196,M,56,Single,1,$90K - $110K,Silver,5070.0,4,45,0,0.0,3651,76,3,1,0
197,F,57,Single,1,Unknown,Silver,4283.0,6,46,488,0.114,4689,65,1,1,0
198,M,48,Married,2,$70K - $90K,Gold,34516.0,2,35,0,0.0,691,15,4,4,1
199,F,52,Married,4,Less than $50K,Silver,1438.3,6,37,783,0.544,3464,70,4,3,0
200,M,46,Single,4,$90K - $110K,Silver,18325.0,4,35,723,0.039,1517,33,3,3,0
201,F,58,Single,1,Less than $50K,Silver,1438.3,6,36,0,0.0,4722,89,4,2,0
202,F,30,Married,1,Unknown,Silver,4377.0,4,18,2517,0.575,8759,74,4,1,1
203,M,60,Single,0,$50K - $70K,Silver,5420.0,5,36,0,0.0,3477,60,2,3,0
204,F,35,Married,1,$50K - $70K,Silver,2045.0,6,26,1707,0.835,2183,39,4,4,0
205,F,41,Single,3,Unknown,Silver,4745.0,2,32,1157,0.244,4705,78,1,1,0
206,M,52,Single,1,$90K - $110K,Silver,34516.0,3,44,0,0.0,1737,38,1,3,1
207,M,44,Unknown,4,$90K - $110K,Silver,4234.0,5,37,972,0.23,1348,27,2,1,0
208,F,42,Married,3,Less than $50K,Silver,3815.0,6,33,1190,0.312,4430,94,2,3,0
209,F,35,Single,3,Unknown,Silver,9293.0,3,30,0,0.0,2314,59,2,3,0
210,M,38,Married,1,$70K - $90K,Silver,2507.0,6,36,1544,0.616,1999,34,4,3,0
211,F,52,Married,1,$50K - $70K,Silver,4189.0,3,34,2066,0.493,4661,85,3,3,0
212,M,44,Unknown,3,$90K - $110K,Silver,6361.0,6,35,1292,0.203,1571,38,2,1,0
213,F,44,Single,3,Less than $50K,Silver,1438.3,5,35,0,0.0,3966,57,2,2,0
214,M,37,Married,3,$90K - $110K,Silver,11638.0,3,30,926,0.08,563,15,3,4,1
215,F,43,Single,5,Less than $50K,Silver,1855.0,2,36,907,0.489,4191,81,2,1,0
216,F,60,Married,1,Less than $50K,Silver,3845.0,2,47,1460,0.38,14432,106,1,3,0
217,F,56,Married,1,Less than $50K,Silver,5991.0,6,36,1993,0.333,1867,53,4,3,0
218,F,49,Single,3,Less than $50K,Silver,5855.0,2,37,0,0.0,9202,80,2,2,1
219,M,44,Divorced,1,$110K and Over,Silver,11362.0,3,39,0,0.0,3197,61,3,2,0
220,M,47,Married,3,$70K - $90K,Silver,4207.0,2,41,1556,0.37,15312,122,3,3,0
221,M,61,Married,0,$50K - $70K,Silver,3077.0,3,54,1646,0.535,1523,30,2,3,0
222,M,57,Married,1,$90K - $110K,Silver,8571.0,5,51,1616,0.189,1397,28,2,2,0
223,F,64,Married,1,$50K - $70K,Silver,1438.3,4,56,0,0.0,1417,35,4,2,0
224,M,46,Divorced,1,$110K and Over,Silver,2016.0,6,30,797,0.395,3772,62,2,2,0
225,F,62,Married,1,Less than $50K,Silver,1438.3,3,53,0,0.0,902,31,3,1,1
226,F,44,Single,2,Unknown,Silver,4559.0,6,37,1680,0.369,4934,76,1,2,0
227,M,36,Married,2,$110K and Over,Silver,3158.0,6,29,0,0.0,2973,63,2,3,0
228,F,38,Single,2,Less than $50K,Silver,9874.0,5,25,1059,0.107,4369,70,2,1,0
229,F,54,Single,3,Unknown,Silver,11975.0,5,36,1542,0.129,1211,35,2,1,0
230,M,44,Single,3,$70K - $90K,Gold,28397.0,4,32,1421,0.05,1635,31,3,1,0
231,M,51,Married,3,$70K - $90K,Silver,7133.0,3,32,0,0.0,2689,62,4,1,0
232,M,68,Married,0,Less than $50K,Silver,1438.3,1,52,900,0.626,760,21,2,3,1
233,M,40,Divorced,2,$70K - $90K,Silver,20304.0,3,36,0,0.0,7494,85,1,2,0
234,F,38,Single,1,Less than $50K,Silver,2484.0,3,22,2149,0.865,1200,28,3,3,0
235,M,58,Single,2,$90K - $110K,Silver,3091.0,1,52,2517,0.814,1844,49,4,2,1
236,M,46,Single,2,$110K and Over,Silver,7790.0,1,28,1921,0.247,14567,131,1,1,0
237,F,41,Single,3,Less than $50K,Silver,4133.0,4,36,1067,0.258,16100,119,2,6,0
238,F,54,Single,2,$50K - $70K,Silver,10753.0,2,41,1845,0.172,7302,80,3,1,0
239,F,47,Married,5,Unknown,Silver,4345.0,3,42,2176,0.501,2458,44,3,5,1
240,F,43,Married,2,Unknown,Silver,2679.0,2,36,1694,0.632,4640,85,3,3,0
241,F,52,Unknown,3,$50K - $70K,Silver,2498.0,5,36,1650,0.661,4434,79,2,2,0
242,F,62,Single,0,$50K - $70K,Silver,4136.0,1,53,0,0.0,7739,97,3,2,0
243,M,41,Married,3,$70K - $90K,Gold,27945.0,1,29,0,0.0,8345,70,4,3,1
244,F,47,Married,5,$50K - $70K,Silver,4466.0,6,41,777,0.174,1757,59,2,2,0
245,F,35,Single,3,Less than $50K,Silver,2664.0,3,27,0,0.0,3906,74,3,3,0
246,F,54,Single,5,Less than $50K,Silver,1476.0,2,49,0,0.0,4462,75,2,3,0
247,F,37,Married,4,Less than $50K,Silver,3423.0,2,26,647,0.189,14308,124,2,1,0
248,M,41,Single,4,$90K - $110K,Silver,14480.0,3,30,0,0.0,1616,43,4,3,1
249,M,43,Married,3,$50K - $70K,Silver,9422.0,6,36,2108,0.224,4633,58,2,2,0
250,F,56,Married,1,$50K - $70K,Silver,4088.0,5,44,1557,0.381,2250,39,4,1,0
251,F,40,Married,3,$50K - $70K,Gold,19000.0,2,34,1568,0.083,8443,97,2,2,0
252,M,53,Married,2,$110K and Over,Silver,3386.0,6,49,1984,0.586,1318,37,3,2,0
253,F,59,Married,0,Less than $50K,Silver,2833.0,6,49,1609,0.568,1335,23,4,2,0
254,M,47,Married,3,$110K and Over,Gold,34516.0,6,27,2315,0.067,1805,46,3,3,0
255,F,47,Single,3,$50K - $70K,Silver,1721.0,6,41,1355,0.787,4474,58,3,5,0
256,M,45,Unknown,3,$70K - $90K,Silver,10290.0,3,35,753,0.073,4326,81,3,3,0
257,F,61,Married,1,Less than $50K,Silver,3102.0,3,54,2091,0.674,1977,50,2,2,0
258,F,43,Single,1,Less than $50K,Silver,2642.0,3,38,2377,0.9,4780,88,3,3,0
259,F,47,Single,5,Unknown,Silver,3502.0,5,40,0,0.0,1895,42,5,4,1
260,F,39,Single,2,Less than $50K,Gold,10024.0,3,29,913,0.091,3906,78,2,3,0
261,M,47,Divorced,2,$90K - $110K,Silver,4586.0,3,41,0,0.0,2529,43,3,2,1
262,F,62,Married,1,Less than $50K,Silver,3143.0,4,49,2517,0.801,1323,25,2,2,0
263,M,49,Married,2,$70K - $90K,Silver,1687.0,2,32,1107,0.656,1670,17,2,2,0
264,F,46,Married,3,Unknown,Silver,3044.0,1,40,1973,0.648,4747,73,1,1,0
265,F,50,Single,2,Less than $50K,Silver,7398.0,5,38,1581,0.214,4311,73,2,4,0
266,F,43,Married,4,Less than $50K,Silver,4724.0,4,37,2056,0.435,1232,31,2,3,0
267,M,50,Single,4,$110K and Over,Silver,6982.0,4,41,0,0.0,4830,50,3,3,1
268,M,48,Single,5,$50K - $70K,Silver,4446.0,2,38,0,0.0,8753,76,3,3,1
269,F,40,Single,1,Less than $50K,Silver,1438.3,4,36,544,0.378,2294,40,2,3,1
270,M,45,Divorced,3,$90K - $110K,Silver,18410.0,3,26,974,0.053,3778,83,2,2,0
271,M,48,Divorced,3,$50K - $70K,Silver,9104.0,2,43,145,0.016,2563,34,3,3,1
272,M,36,Single,4,$70K - $90K,Silver,20337.0,3,36,1605,0.079,2460,74,1,2,0
273,M,55,Single,1,$70K - $90K,Silver,1723.0,5,48,0,0.0,2574,43,2,2,1
274,M,39,Single,3,$70K - $90K,Silver,2527.0,5,36,2204,0.872,4598,85,4,3,0
275,F,36,Single,3,Less than $50K,Silver,2937.0,3,31,2159,0.735,2511,51,3,2,0
276,M,38,Single,2,$70K - $90K,Diamond,34516.0,1,18,1494,0.043,7885,85,3,2,0
277,F,62,Single,1,Less than $50K,Silver,5284.0,6,55,2517,0.476,4525,63,1,1,0
278,F,63,Single,0,Less than $50K,Silver,1438.3,5,48,0,0.0,3383,61,1,2,0
279,F,50,Married,0,Less than $50K,Silver,4935.0,2,38,1574,0.319,8527,84,1,3,0
